rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
4.0,Sticky stair riser tread thingies are utterly useless.,"Tried to load photos, but none of my photos or videos ever want to load on amazon. Weird huh? Bought this as “like new” from amazon. It’s not. Whoever returned it got dog hair all over the sticky stair riser treads & they will not stick to the plastic stairs so neither of my service dogs will use them although it’s identical to the last stairs we owned.  Mine is garbage bc it was previously used.",[],B084SXF9Y8,B0BHTBS5RM,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1675529329744,0,True
1.0,Dangerous bc metal not properly coated! Rough edges!,"Where to begin?  I’ve been trying to get the 20 pics of these eyesores to upload since I received them, but they won’t. I ordered them bc one of my service dogs had emergency surgery & both pups were exposed to weed killer my LL put down, but I was unaware of & both pups became ill.  I knew when they arrived that I should have immediately returned them bc both boxes had the look about them that they were someone else’s previous returns.  The bad tape jobs on the boxes are generally a pretty good indicator imo. Both kennels had been placed together in one larger box for shipping so they should neither of them have had such a horrific tape job applied to them. I’ve purchased Midwest kennels for over 35 years & I’ve never purchased them with this kind of tape job in my life.  These were not “factory sealed”.  These hasd obviously been opened & returned. Worse- it looked as tho someone kept the new kennel & returned their old one bc you can literally see where all the powder coating is missing on these kennels which happens over time from use & friction.  One piece in particular has no coating on it whatsoever as can be seen in the photos that won’t load. Lol.  I thought I was buying direct from the manufacturer this time as I’ve moved away from buying from third party sellers due to receiving items like these kennels.  What’s annoying is I desperately needed this for a dog post surgery & im left with an un-safe kennel.  The metal is jagged throughout. I’ve cut my own hands numerous times bc the costing is missing & the metal is bare & rough.  Either the quality of Midwest has taken a nosedive in the 4 yrs since I last purchased a kennel or someone sent me used items.  I cannot recommend this item bc it is dangerous to ur pups eyes, nose, skin, paws, fur, etc.  jagged edges have no business near animal nor human bodies.","[{'small_image_url': 'https://m.media-amazon.com/images/I/613Lx0U8t-L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/613Lx0U8t-L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/613Lx0U8t-L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/617DNqsf5ZL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/617DNqsf5ZL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/617DNqsf5ZL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/61H1Xm1wE7L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61H1Xm1wE7L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61H1Xm1wE7L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/61HpXowuhBL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61HpXowuhBL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61HpXowuhBL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/61JhUpKC31L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61JhUpKC31L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61JhUpKC31L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/61N61Xuyh2L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61N61Xuyh2L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61N61Xuyh2L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/61QIMHUevKL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61QIMHUevKL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61QIMHUevKL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/61XaLEM9HIL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61XaLEM9HIL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61XaLEM9HIL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/61fEw71OT3L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61fEw71OT3L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61fEw71OT3L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71+fI8Ia3CL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71+fI8Ia3CL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71+fI8Ia3CL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71-JNzdpj7L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71-JNzdpj7L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71-JNzdpj7L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/715lknbGILL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/715lknbGILL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/715lknbGILL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/7170MBBXL1L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/7170MBBXL1L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/7170MBBXL1L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71AwRXwjBUL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71AwRXwjBUL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71AwRXwjBUL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71EsBFjxSRL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71EsBFjxSRL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71EsBFjxSRL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71HTwcJpluL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71HTwcJpluL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71HTwcJpluL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71MqOT2RKcL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71MqOT2RKcL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71MqOT2RKcL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71MqhQ0upNL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71MqhQ0upNL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71MqhQ0upNL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71Mz5SqQmNL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71Mz5SqQmNL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71Mz5SqQmNL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71NGcDSLJsL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71NGcDSLJsL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71NGcDSLJsL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71VmoblJgNL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71VmoblJgNL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71VmoblJgNL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71WqhP7hlpL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71WqhP7hlpL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71WqhP7hlpL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71dzkdHQ+tL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71dzkdHQ+tL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71dzkdHQ+tL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71jH98xT6zL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71jH98xT6zL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71jH98xT6zL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71mAonOIakL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71mAonOIakL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71mAonOIakL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71u2iF-S6mL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71u2iF-S6mL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71u2iF-S6mL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71yPDpkxhRL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71yPDpkxhRL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71yPDpkxhRL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B000QFWCJ6,B0BJ16KKML,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1665513673369,4,True
3.0,Arrived damaged/dented/rusted,Unfortunately mine arrived damaged/dented which undermines the structural integrity.  As it was packaged in cardboard it appears it left the manufacturer that way so they must not have quality control ppl watching the products or inspecting them.  There are also several areas of rust on the pieces as though they got wet at some point. This one will be going back.  I will not pay $42 plus tax for damaged goods.,"[{'small_image_url': 'https://m.media-amazon.com/images/I/711lGgbffmL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/711lGgbffmL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/711lGgbffmL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71VMi6Z9SLL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71VMi6Z9SLL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71VMi6Z9SLL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71tb9LkBtIL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71tb9LkBtIL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71tb9LkBtIL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71vFShyxYeL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71vFShyxYeL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71vFShyxYeL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/815UQTSQgdL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/815UQTSQgdL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/815UQTSQgdL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/81k7BpLUWRL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/81k7BpLUWRL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/81k7BpLUWRL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B08B875X4H,B0BX76YVP9,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1656118516820,4,True
5.0,My pups love these!,"My pups love these!  It’s one of their favorites. My older pup is missing several teeth due to his old age, but they are still soft enough that he can eat them.",[],B01MFG9AG7,B0BM6V2SH8,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1589933838188,0,True
3.0,My pups refuse to eat them.,"Idk why, but my pups will not eat either flavor of these. So it was a huge ware of money for me.",[],B00KRMMJV4,B0986BSRB1,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1587853303681,0,True
5.0,Work great!!,"These are my favorite and I’m kicking myself for not buying more. As usual the price doubled when I went to buy more. I have two small service dogs 10-12 pounds, but I have dr appts in another town and s one is older I like to have these if needed. I was worried they wouldn’t use them w the lavender smell, but they took right to them. Now when I’m stranded in a hospital it dr for hours miles away I don’t have to worry about finding surprises at home. I prefer the xxl. Idk why companies insist on making the ridiculous 21”x21” size. I suppose it’s just so they can charge 4x more for a reasonable size.  I bought another brand when the price doubled.  And ironically a day after I bought the other brand it’s price dropped. Amazon pricing is  nuts.  I miss these so much bc the others I bought were the tiny 21” square size. Stupid small.",[],B01C5AS7BQ,B0BP3XMDP2,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1583557116498,0,True
4.0,Pups love a couple flavors,"Bought these in sale at local Petsmaet and my pups loved 2 flavors. I bought this 4 pack hoping they would like the others as well. Sadly, I have picky pups, but the price was worth it. They devoured the ones they liked first and grudgingly have eaten what’s left since they have no other treats until these are gone.",[],B079QFP1F5,B079QFP1F5,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1545114749534,1,True
4.0,"Colorful, extremely functional, but defective bolt! 1 works 1 won’t.",Love the color and the heft. It’s strong. I purchased this for my daughter’s husky/German Shepherd mix. I love the fanny pack too. My only problem is that it arrived damaged which always irritates the hell out of me. Quality Control should have tried the bolt end and realized that one end will not open at all!  It’s infuriating as I was really looking forward to using this leash for the “hands free” walk!  These bolts suck. The price is great until you realize you either have to return the entire thing which I am planning to do or you have to find new bolts and take the leash apart and install the new ones. They have a stupid little twisted wire thingy like ink pens do. Useless.  My grandson loves the leash. The color is pretty and the lime green makes it easy to find in a house filled with 4 kids under 8 and kids toys and dog toys everywhere.  I literally bought it because we can never seem to find the other leashes before we risk an accident!  Said grandson likes to play with them/lose them/ hide them no matter how well you think you organized them the last time you put them up!  It’s sad that this really is a quality piece for a great price except for those stupid bolts!!! Argh!  The price of new bolts and the pain in the butt it will be to replace them means I may as well return it and hope I can find an exact duplicate to repurchase.  With different bolts it would definitely be 5 Stars!,"[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61idiNof2wL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61idiNof2wL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61idiNof2wL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71NEnlb5yaL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71NEnlb5yaL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71NEnlb5yaL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71oKVSzoCpL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71oKVSzoCpL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71oKVSzoCpL.jpg', 'attachment_type': 'IMAGE'}]",B072QCGYBC,B072QCGYBC,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1534376759917,0,True
1.0,Super slippery,I didn't care for these - they are very slippery in water and I couldn't keep my grip on them!,[],B08M41H4QK,B08M41H4QK,AGGZ357AO26RQZVRLGU4D4N52DZQ,1635819311842,0,True
5.0,Crack for cats,"[[VIDEOID:b9ca91d6918d02797d210c89a5727806]] [[VIDEOID:c412148401252248c6b4c9d921bbd576]] OH MY GOSH this is like crack for cats. One of our cats (let's call her Precious) loves this thing so much that she tries to get it back out when I put it away. The other cat (let's call her Brat) lurks nearby and stares longingly at it, wishing she could join in, but alas is too haunted by the memory of what happened many years ago with a similar toy. She had grabbed the feather, managing to snatch the whole stick out of my hand, then panicked when the stick fell on the ground, got herself tangled in the toy & string, and made a mad dash through the house with the stick trailing behind her terrified, freaking-out self. She's never been able to join in on the fun since. So...moral of the story, just make sure you have a REAL firm grip on the dang stick and your cats (and you) will enjoy hours of entertainment. See attached video and photo for further evidence. ;-)","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/714xTz0-m9L._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/714xTz0-m9L._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/714xTz0-m9L.jpg', 'attachment_type': 'IMAGE'}]",B001BOVEU4,B07XC78K3P,AGGZ357AO26RQZVRLGU4D4N52DZQ,1481666095000,10,True
